artist,id,song_id
XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,65u1dHQyQyE4y4aN2eDmMF
Matt OX,2J6pigOrBmKQgqJUY5UM7r,65u1dHQyQyE4y4aN2eDmMF
Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,4PwWESSlTwzvw9B7bmtTLS
Charli xcx,25uiPmTg16RbhZWAqwLBy5,19RybK6XDbAVpcdxSbZL1o
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,1UHS8Rf6h5Ar3CDWRd3wjF
Hanumankind,4nVa6XlBFlIkF6msW57PHp,0OA00aPt3BV10qeMIs3meW
Kalmi,6tYCSHLtTI54AQJFOMfU45,0OA00aPt3BV10qeMIs3meW
STAR BANDZ,5qhDQveADDnjIZQ85AtgDM,0LfmOEaXineDNgKUu8EFcC
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,6dOtVTDdiauQNBQEDOtlAB
LAZER DIM 700,3CE6MgsLpKMDfYFtexgc8U,1D68GC0dFwe6NW66GaxH1H
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,3WSOUb3U7tqURbBSgZTrZX
Blood Orange,6LEeAFiJF8OuPx747e1wxR,2KufM8PiQY4i52XhRL96Fd
IV Of Spades,4k9wp4ipHdA1bu1T4x1ZTG,3Eb5sztvEMa0Mqnb8DUAlU
Freak Nasty,0LthCv77K8NqLKr8B6266a,76YDsWGWezclVy9Z6sDGhf
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,2plbrEY59IikOBgBGLjaoe
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,2plbrEY59IikOBgBGLjaoe
Surf Curse,1gl0S9pS0Zw0qfa14rDD3D,2Lumsra3kuU61wXkEKzKaK
Blackstreet,2P3cjUru4H3fhSXXNxE9kA,4Lw1ePUkkLEG9kIVhpslO0
Level,7x6piCyJR9YpMWhTRyHRvJ,2bngdHLbrOmgQJwrFTZ08i
Ms. Trill,307fIWtNYKZz6p57EnJFaz,2bngdHLbrOmgQJwrFTZ08i
bôa,5jTtGLk1mGFMY5lQOvJYUj,42qNWdLKCI41S4uzfamhFM
Yorch y Su Carisma,2t5725DMAf9nTSuoIwopaX,0jQNzFCegFraPo4OMZKQa4
Rich Homie Quan,5lHRUCqkQZCIWeX7xG4sYT,4T0ScSPdQKmGvruK7pavNP
Alphaville,0xliTEbFfy5HQHvsTknTkX,4S1VYqwfkLit9mKVY3MXoo
Real Boston Richey,1iwUuIOKYjV7SKIg27v4zi,487JCvAXVblflZyDJn3fSp
Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5,51rfRCiUSvxXlCSCfIztBy
Memo Boy,2jwC7uml6QVgLBfx1Hbtek,2klj0StczYde6WUHBJo5F6
Chakra Efendi,3pFSlKAoVnaEycgIcPDctw,2klj0StczYde6WUHBJo5F6
BlackMayo,4lqgnM7106Fmg20NEu4OAH,3PbutKhWZwCvV36TMJiNl3
Jordan Adetunji,0jPHHnU8GUWEF7rwPE9osY,2hrycoFU1mZw6YPvMcn8yC
Tamar Braxton,1MT1Wz4G9Z9EVOg4L5zZMS,7wA4XiTQOWByeF6DGWoxkt
Future,1RyvyyTE3xzB2ZywiAwp0i,7wA4XiTQOWByeF6DGWoxkt
Queen Key,7kjPTFbcsfp9obzTgAx4Mj,2y2Y4LPrrDMinXKHsMLYLD
Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,5b3XJ1pjrHO5JtY2PcTjnI
千葉雄喜,6Qhgat07PNOdnJSnCXJigu,5b3XJ1pjrHO5JtY2PcTjnI
RhyRhy,0rLtVRocFmE2FJtFJnt7q7,3DFthI2QhiPzMEuPatsVG1
Jordin4s,4wY7RTpk5p6rbqsdETmxQZ,3DFthI2QhiPzMEuPatsVG1
Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo,5AJ9hqTS2wcFQCELCFRO7A
Alex G,6lcwlkAjBPSKnFBZjjZFJs,1llY5gzWqdAjm1Hscr4kwn
Sir Mix-A-Lot,3TQ9JTBI2n2hfo7aRONEYV,3ZP1AbM0rurWtqQIhTVcln
Don Toliver,4Gso3d4CscCijv0lmajZWs,2c7z5oRcPBbqRaBY2mLWcf
Kodak Black,46SHBwWsqBkxI7EeeBEQG7,34oWbFBfGEElvgO0a5c9V4
Lil Rae,3mBgj6uh2YjNocaBRGJumA,5Zg2yZfCBn7CsFvH0haHgA
Big Yavo,3PGiywHOqNwJ1bv4S3fgZF,5Zg2yZfCBn7CsFvH0haHgA
FloyyMenor,7CvTknweLr9feJtRGrpDBy,5PCGEfALcpGtURIuTqvX0R
LeoStayTrill,3Ut1IKlpXHBQwxklMxBsPX,09gvU6fupCnVE0RPF8E3Ys
Mr Reload It,51Ap1wNTfeway5Q06oFCLh,09gvU6fupCnVE0RPF8E3Ys
Aphex Twin,6kBDZFXuLrZgHnvmPu9NsG,4LIM4qmpHABufePRrLWbiM
Ashanti,5rkVyNGXEgeUqKkB5ccK83,1YZBMqN8kHaaRPXpQTC3kb
BabyChiefDoit,1J1pGfTqp5ReVIX8Z1Wzsg,7zP40LKCXsiyZjMtnzo5z6
Gigi Perez,1iCnM8foFssWlPRLfAbIwo,0UYnhUfnUj5adChuAXvLUB
Alex Brightman,7abCELr0U2E5K2nPjVtWkN,3PzAUMMxPcaXEfWEvMx469
Sophia Anne Caruso,6DQwC1hPrwv3JRmvxONCoZ,3PzAUMMxPcaXEfWEvMx469
Kerry Butler,4GDiwGz4YZDRaYzMJ3jPWi,3PzAUMMxPcaXEfWEvMx469
Rob McClure,1e2mD3JWDLdFFWuOku9gBc,3PzAUMMxPcaXEfWEvMx469
BossMan Dlow,23xFbA9rYgRX8mreqysWPc,1vkpe29DP5EvAxYnWVq5C1
Mint Condition,4MT97VeycuegSicrrphisJ,6KbwCku0kfegSak3qJYDlh
Clean Bandit,6MDME20pz9RveH9rEXvrOM,1x5sYLZiu9r5E43kMlt9f8
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,1x5sYLZiu9r5E43kMlt9f8
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,5G2f63n7IPVPPjfNIGih7Q
Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,4JOP8ELK6AaeySe7sKe996
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,2LMkwUfqC6S6s6qDVlEuzV
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,3QaPy1KgI7nu9FJEQUgn6h
Kimya Dawson,5PPCkoOKabpGGhqrUwSikz,4BqIT4j2xzROrC9dMlgXPT
