start,duration,confidence,loudness,tempo,tempo_confidence,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,track_id
0.0,12.76875,1.0,-7.004,167.381,0.77,3,0.527,1,0.587,4,1.0,6aJn7Cst74cj4lNIiPRgav
12.76875,22.98353,0.929,-2.731,167.164,0.698,7,0.47,1,0.545,4,1.0,6aJn7Cst74cj4lNIiPRgav
35.75228,12.22994,0.63,-2.938,167.032,0.549,3,0.385,1,0.501,4,1.0,6aJn7Cst74cj4lNIiPRgav
47.98222,21.91658,0.654,-1.745,167.005,0.671,5,0.269,0,0.362,4,1.0,6aJn7Cst74cj4lNIiPRgav
69.8988,11.48841,0.443,-2.699,166.876,0.66,8,0.012,1,0.344,4,1.0,6aJn7Cst74cj4lNIiPRgav
81.38721,48.49569,0.995,-2.289,166.995,0.583,5,0.326,0,0.438,4,0.985,6aJn7Cst74cj4lNIiPRgav
0.0,29.24984,1.0,-5.889,126.075,0.817,9,0.322,0,0.368,4,1.0,19RybK6XDbAVpcdxSbZL1o
29.24984,27.14921,0.295,-4.951,126.036,0.711,0,0.646,1,0.478,4,1.0,19RybK6XDbAVpcdxSbZL1o
56.39905,13.32876,0.491,-7.967,126.008,0.616,5,0.038,1,0.315,4,1.0,19RybK6XDbAVpcdxSbZL1o
69.72782,13.34114,0.567,-5.171,126.029,0.735,9,0.264,0,0.356,4,1.0,19RybK6XDbAVpcdxSbZL1o
83.06896,68.67072,0.023,-5.212,126.032,0.725,0,0.551,1,0.521,4,1.0,19RybK6XDbAVpcdxSbZL1o
0.0,6.02387,1.0,-5.873,182.247,0.124,7,0.438,1,0.56,4,1.0,0OA00aPt3BV10qeMIs3meW
6.02387,16.65819,1.0,-3.832,180.128,0.561,7,0.299,1,0.287,4,1.0,0OA00aPt3BV10qeMIs3meW
22.68205,20.99359,0.81,-2.704,180.336,0.625,6,0.546,0,0.558,4,1.0,0OA00aPt3BV10qeMIs3meW
43.67564,16.34775,0.37,-3.046,179.772,0.557,8,0.576,1,0.528,4,1.0,0OA00aPt3BV10qeMIs3meW
60.02339,19.66836,0.635,-2.853,179.972,0.559,4,0.136,0,0.195,4,1.0,0OA00aPt3BV10qeMIs3meW
79.69175,21.32553,0.11,-2.497,180.126,0.487,4,0.314,0,0.394,4,1.0,0OA00aPt3BV10qeMIs3meW
101.01729,22.67258,0.558,-3.616,180.178,0.658,9,0.657,1,0.492,4,1.0,0OA00aPt3BV10qeMIs3meW
123.68987,18.5306,0.558,-2.678,155.614,0.511,7,0.211,0,0.49,3,0.308,0OA00aPt3BV10qeMIs3meW
142.22047,42.23973,0.645,-3.228,134.988,0.616,11,0.042,1,0.372,4,0.417,0OA00aPt3BV10qeMIs3meW
184.4602,6.20647,0.05,-6.949,135.678,0.669,11,0.225,1,0.34,4,1.0,0OA00aPt3BV10qeMIs3meW
0.0,8.09296,1.0,-21.903,173.656,0.214,1,0.005,1,0.28,4,1.0,62bOmKYxYg7dhrC6gH9vFn
