track_name,track_id,artists,release_date,release_date_precision,duration_ms,is_explicit,popularity
Help Me,487JCvAXVblflZyDJn3fSp,"[{'artist': 'Real Boston Richey', 'id': '1iwUuIOKYjV7SKIg27v4zi'}]",5/31/2024,day,,TRUE,73
$$$ - with Matt Ox,65u1dHQyQyE4y4aN2eDmMF,"[{'artist': 'XXXTENTACION', 'id': '15UsOTVnJzReFVN1VCnxy4'}, {'artist': 'Matt OX', 'id': '2J6pigOrBmKQgqJUY5UM7r'}]",3/16/2018,day,,TRUE,62
"I Love You, I'm Sorry",51rfRCiUSvxXlCSCfIztBy,"[{'artist': 'Gracie Abrams', 'id': '4tuJ0bMpJh08umKkEXKUI5'}]",6/21/2024,day,,TRUE,90
Midnight (sped up),3DFthI2QhiPzMEuPatsVG1,"[{'artist': 'RhyRhy', 'id': '0rLtVRocFmE2FJtFJnt7q7'}, {'artist': 'Jordin4s', 'id': '4wY7RTpk5p6rbqsdETmxQZ'}]",9/5/2024,day,,TRUE,37
Sailor Song,0UYnhUfnUj5adChuAXvLUB,"[{'artist': 'Gigi Perez', 'id': '1iCnM8foFssWlPRLfAbIwo'}]",7/26/2024,day,,FALSE,68
Un-thinkable (I'm Ready),4JOP8ELK6AaeySe7sKe996,"[{'artist': 'Alicia Keys', 'id': '3DiDSECUqqY1AuBP8qtaIa'}]",12/15/2009,day,,FALSE,65
So Fine,6KbwCku0kfegSak3qJYDlh,"[{'artist': 'Mint Condition', 'id': '4MT97VeycuegSicrrphisJ'}]",1/1/1993,day,,FALSE,53
Big Dawgs,0OA00aPt3BV10qeMIs3meW,"[{'artist': 'Hanumankind', 'id': '4nVa6XlBFlIkF6msW57PHp'}, {'artist': 'Kalmi', 'id': '6tYCSHLtTI54AQJFOMfU45'}]",7/9/2024,day,,TRUE,85
QKThr,4LIM4qmpHABufePRrLWbiM,"[{'artist': 'Aphex Twin', 'id': '6kBDZFXuLrZgHnvmPu9NsG'}]",10/22/2001,day,,FALSE,68
Jus' Know,3PbutKhWZwCvV36TMJiNl3,"[{'artist': 'BlackMayo', 'id': '4lqgnM7106Fmg20NEu4OAH'}]",12/3/2018,day,,TRUE,72
PELIGROSA,5PCGEfALcpGtURIuTqvX0R,"[{'artist': 'FloyyMenor', 'id': '7CvTknweLr9feJtRGrpDBy'}]",7/12/2024,day,,TRUE,80
Mis,1llY5gzWqdAjm1Hscr4kwn,"[{'artist': 'Alex G', 'id': '6lcwlkAjBPSKnFBZjjZFJs'}]",1/15/2012,day,,FALSE,68
Champagne Coast,2KufM8PiQY4i52XhRL96Fd,"[{'artist': 'Blood Orange', 'id': '6LEeAFiJF8OuPx747e1wxR'}]",8/30/2011,day,,FALSE,71
Pink Lemonade (Hood Trap),09gvU6fupCnVE0RPF8E3Ys,"[{'artist': 'LeoStayTrill', 'id': '3Ut1IKlpXHBQwxklMxBsPX'}, {'artist': 'Mr Reload It', 'id': '51Ap1wNTfeway5Q06oFCLh'}]",7/19/2024,day,,TRUE,57
Duvet,42qNWdLKCI41S4uzfamhFM,"[{'artist': 'bôa', 'id': '5jTtGLk1mGFMY5lQOvJYUj'}]",4/20/2010,day,,FALSE,82
