track_name,track_id,artists,release_date,release_date_precision,duration_ms,is_explicit,popularity,acousticness,danceability,energy,id,instrumentalnesskey,liveness,loudness,mode,speechiness,tempo,time_signature,type,valence
Help Me,487JCvAXVblflZyDJn3fSp,"[{'artist': 'Real Boston Richey', 'id': '1iwUuIOKYjV7SKIg27v4zi'}]",2024-05-31,day,,True,73,,,,,,,,,,,,,
$$$ - with Matt Ox,65u1dHQyQyE4y4aN2eDmMF,"[{'artist': 'XXXTENTACION', 'id': '15UsOTVnJzReFVN1VCnxy4'}, {'artist': 'Matt OX', 'id': '2J6pigOrBmKQgqJUY5UM7r'}]",2018-03-16,day,,True,62,,,,,,,,,,,,,
"I Love You, I'm Sorry",51rfRCiUSvxXlCSCfIztBy,"[{'artist': 'Gracie Abrams', 'id': '4tuJ0bMpJh08umKkEXKUI5'}]",2024-06-21,day,,True,90,,,,,,,,,,,,,
Midnight (sped up),3DFthI2QhiPzMEuPatsVG1,"[{'artist': 'RhyRhy', 'id': '0rLtVRocFmE2FJtFJnt7q7'}, {'artist': 'Jordin4s', 'id': '4wY7RTpk5p6rbqsdETmxQZ'}]",2024-09-05,day,,True,37,,,,,,,,,,,,,
Sailor Song,0UYnhUfnUj5adChuAXvLUB,"[{'artist': 'Gigi Perez', 'id': '1iCnM8foFssWlPRLfAbIwo'}]",2024-07-26,day,,False,68,,,,,,,,,,,,,
Un-thinkable (I'm Ready),4JOP8ELK6AaeySe7sKe996,"[{'artist': 'Alicia Keys', 'id': '3DiDSECUqqY1AuBP8qtaIa'}]",2009-12-15,day,,False,65,,,,,,,,,,,,,
So Fine,6KbwCku0kfegSak3qJYDlh,"[{'artist': 'Mint Condition', 'id': '4MT97VeycuegSicrrphisJ'}]",1993-01-01,day,,False,53,,,,,,,,,,,,,
Big Dawgs,0OA00aPt3BV10qeMIs3meW,"[{'artist': 'Hanumankind', 'id': '4nVa6XlBFlIkF6msW57PHp'}, {'artist': 'Kalmi', 'id': '6tYCSHLtTI54AQJFOMfU45'}]",2024-07-09,day,,True,85,,,,,,,,,,,,,
QKThr,4LIM4qmpHABufePRrLWbiM,"[{'artist': 'Aphex Twin', 'id': '6kBDZFXuLrZgHnvmPu9NsG'}]",2001-10-22,day,,False,68,,,,,,,,,,,,,
Jus' Know,3PbutKhWZwCvV36TMJiNl3,"[{'artist': 'BlackMayo', 'id': '4lqgnM7106Fmg20NEu4OAH'}]",2018-12-03,day,,True,72,,,,,,,,,,,,,
